question,answer,topic
What is a GIF (Graphics Interchange Format)?,A format for a file that contains a graphic or a picture.,information technology
What is a gigabyte?,1024 x 1024 x 1024 (2 to the 30th power) bytes; it's usually sufficient to think of a gigabyte as approximately one billion bytes or 1000 megabytes.,information technology
What is GPS (Global Positioning System)?,"A collection of Earth-orbiting satellites. In a more common context, GPS actually refers to a GPS receiver which uses a mathematical principle called ""trilateration"" that can tell you exactly where you are on Earth at any moment.",information technology
What is a GUI (Graphical user interface)?,"A mouse-based system that contains icons, drop-down menus, and windows where you point and click to indicate what you want to do. All new Windows and Macintosh computers currently being sold utilize this technology.",information technology
What is a hard disk?,"A storage device that holds large amounts of data, usually in the range of hundreds to thousands of megabytes. Although usually internal to the computer, some types of hard disk devices are attached separately for use as supplemental disk space. ""Hard disk"" and ""hard drive"" often are used interchangeably but technically, hard drive refers to the mechanism that reads data from the disk.",information technology
What is hardware?,"The physical components of a computer including the keyboard, monitor, disk drive, and internal chips and wiring. Hardware is the counterpart of software.",information technology
What is a host?,A computer accessed by a user working at a remote location. Also refers to a specific computer connected to a TCP/IP network like the Internet.,information technology
What is HTML (HyperText Markup Language)?,A language used for creating web pages. Various instructions and sets of tags are used to define how the document will look.,information technology
What is HTTP (Hypertext Transfer Protocol)?,"A set of instructions that defines how a web server and a browser should interact. Example: When you open a location (e.g., enter a URL) in your browser, what actually happens is an HTTP command is sent to the web server directing it to fetch and return the requested web page.",information technology
What is the Internet?,"A worldwide network based on the TCP/IP protocol that can connect almost any make or model of popular computers from micros to supercomputers. Special programs called ""clients"" enable users with a network connection to do things like process e-mail or browse web sites using the familiar interface of a desktop computer.",information technology
What is an IP (Internet Protocol) address?,Every computer connected to the Internet has a unique identifying number. Example: 192.168.100.2.,information technology
